date;home;away;goal_h;goal_a;final_result;phase
06.08.2012;Poland;Greece;1;1;1;0
06.08.2012;Russia;Czech Republic;4;1;0;0
06.12.12;Greece;Czech Republic;1;2;2;0
06.12.12;Poland;Russia;1;1;1;0
16.06.12;Czech Republic;Poland;1;0;0;0
16.06.12;Greece;Russia;1;0;0;0
06.09.2012;Netherlands;Denmark;0;1;2;0
06.09.2012;Germany;Portugal;1;0;0;0
13.06.12;Denmark;Portugal;2;3;2;0
13.06.12;Netherlands;Germany;1;2;2;0
17.06.12;Portugal;Netherlands;2;1;0;0
17.06.12;Denmark;Germany;1;2;2;0
06.10.2012;Spain;Italy;1;1;1;0
06.10.2012;Ireland;Croatia;1;3;2;0
14.06.12;Italy;Croatia;1;1;1;0
14.06.12;Spain;Ireland;4;0;0;0
06.18.12;Croatia;Spain;0;1;2;0
06.18.12;Italy;Ireland;2;0;0;0
11.06.12;France;England;1;1;1;0
11.06.12;Ukraine;Sweden;2;1;0;0
15.06.12;Ukraine;France;0;2;2;0
15.06.12;Sweden;England;2;3;2;0
19.06.12;England;Ukraine;1;0;0;0
19.06.12;Sweden;France;2;0;0;0
21.06.12;Czech Republic;Portugal;0;1;2;1
22.06.12;Germany;Greece;4;2;0;1
23.06.12;Spain;France;2;0;0;1
24.06.12;England;Italy;0;0;1;1
27.06.12;Portugal;Spain;0;0;1;2
28.06.12;Germany;Italy;1;2;2;2
07.01.2012;Spain;Italy;4;0;0;3
