nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating
Croatia,70.32850638377201,77.82126595943004,185.49275957565803,62.239139363487034,60.07488617160102,58.821265959430036,67.07488617160102,38.98551915131604,74.91063297971502,73.07488617160102,179.49275957565803,63.821265959430036,72.65701276754403,66.82126595943004,58.56764574725905,65.40339255537305,77.164253191886,71.82126595943004,181.91063297971502,75.74637978782901,67.07488617160102,69.07488617160102,41.821265959430036,69.49275957565803,72.74637978782901
Czech Republic,72.74637978782901,76.74637978782901,183.582126595943,72.32850638377201,64.91063297971502,73.32850638377201,69.07488617160102,48.56764574725905,76.74637978782901,70.32850638377201,179.16425319188602,64.49275957565803,76.91063297971502,64.40339255537305,58.98551915131604,64.82126595943004,74.74637978782901,79.164253191886,186.91063297971502,75.32850638377201,63.49275957565802,62.65701276754403,44.239139363487034,63.65701276754403,82.32850638377201
Denmark,69.07488617160102,76.49275957565803,184.328506383772,61.14977234320205,57.239139363487034,65.65701276754403,64.65701276754403,39.31402553508806,70.74637978782901,72.32850638377201,180.16425319188602,63.239139363487034,67.49275957565803,67.23913936348703,58.14977234320205,56.65701276754403,75.164253191886,72.49275957565803,175.23913936348703,64.23913936348703,73.91063297971502,68.49275957565803,46.40339255537304,67.07488617160102,76.74637978782901
England,79.74637978782901,73.23913936348703,179.07488617160104,70.65701276754403,65.65701276754403,68.82126595943004,74.07488617160102,46.14977234320205,79.74637978782901,66.164253191886,176.746379787829,71.23913936348703,77.91063297971502,71.23913936348703,61.56764574725905,72.49275957565803,78.91063297971502,70.49275957565803,177.07488617160104,72.98551915131604,70.82126595943004,73.23913936348703,49.731898939145054,67.98551915131604,79.23913936348703
France,80.164253191886,75.07488617160102,179.07488617160104,66.82126595943004,64.65701276754403,70.40339255537305,74.07488617160102,42.98551915131604,77.91063297971502,71.91063297971502,174.65701276754402,69.65701276754403,75.07488617160102,71.40339255537305,62.31402553508806,58.56764574725905,79.74637978782901,69.82126595943004,176.65701276754402,71.65701276754403,74.07488617160102,69.82126595943004,48.239139363487034,73.91063297971502,84.74637978782901
Germany,79.32850638377201,76.82126595943004,183.23913936348703,68.40339255537305,62.40339255537304,59.731898939145054,72.23913936348703,46.14977234320205,82.74637978782901,74.32850638377201,182.746379787829,66.23913936348703,76.49275957565803,68.40339255537305,62.31402553508806,68.82126595943004,82.164253191886,74.07488617160102,182.746379787829,76.65701276754403,73.49275957565803,72.65701276754403,50.07488617160102,74.07488617160102,85.32850638377201
Greece,74.164253191886,75.07488617160102,179.91063297971502,70.49275957565803,61.07488617160102,67.91063297971502,70.91063297971502,49.56764574725905,69.91063297971502,76.07488617160102,179.23913936348703,64.56764574725905,65.23913936348703,66.56764574725905,65.31402553508806,50.14977234320205,71.74637978782901,69.65701276754403,173.82126595943004,64.98551915131604,68.07488617160102,61.821265959430036,43.821265959430036,66.07488617160102,75.164253191886
Italy,78.74637978782901,75.49275957565803,182.91063297971502,73.07488617160102,61.40339255537304,73.23913936348703,71.65701276754403,45.56764574725905,81.164253191886,74.91063297971502,179.328506383772,68.82126595943004,77.49275957565803,67.56764574725905,71.07488617160102,71.07488617160102,79.32850638377201,67.40339255537305,170.23913936348703,67.23913936348703,78.49275957565803,64.23913936348703,51.14977234320205,77.49275957565803,85.164253191886
Netherlands,70.91063297971502,75.07488617160102,179.91063297971502,63.56764574725905,59.239139363487034,61.14977234320205,67.23913936348703,41.731898939145054,78.91063297971502,72.49275957565803,176.49275957565803,66.40339255537305,73.23913936348703,66.40339255537305,64.73189893914505,64.98551915131604,79.91063297971502,73.91063297971502,180.91063297971502,69.40339255537305,73.23913936348703,69.65701276754403,48.821265959430036,72.82126595943004,82.74637978782901
Poland,67.49275957565803,77.07488617160102,185.16425319188602,59.731898939145054,54.40339255537304,61.40339255537304,63.821265959430036,40.14977234320205,70.74637978782901,71.49275957565803,177.49275957565803,62.40339255537304,67.07488617160102,64.40339255537305,58.14977234320205,54.40339255537304,72.32850638377201,74.32850638377201,177.91063297971502,71.65701276754403,66.65701276754403,66.23913936348703,47.239139363487034,62.821265959430036,77.49275957565803
