nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating,country
Austria,4,4,6,10,12,11,6,17,4,5,5,9,6,9,8,10,5,7,10,14,6,11,8,10,3.0,Austria
Belgium,3,3,3,5,9,7,6,18,3,5,5,10,5,11,14,10,7,12,9,18,12,15,13,10,5.0,Belgium
Croatia,5,7,6,12,9,10,8,13,5,6,6,12,7,10,12,7,2,6,7,13,10,10,10,9,7.0,Croatia
Czech Republic,4,5,7,8,7,5,5,11,2,7,7,7,3,7,12,6,4,7,5,12,10,13,11,8,0.0,Czech Republic
Denmark,4,7,5,13,9,17,7,18,5,5,4,10,6,8,9,9,9,8,7,9,12,12,12,12,5.0,Denmark
England,3,9,7,7,7,12,5,14,6,6,4,11,9,12,12,14,4,7,7,17,7,9,9,9,3.0,England
Finland,3,7,8,9,9,13,6,14,3,6,5,9,5,15,10,8,6,8,2,9,9,8,11,9,8.0,Finland
France,3,7,5,9,8,6,5,12,3,9,9,10,5,9,15,9,4,9,9,14,6,17,9,7,2.0,France
Germany,3,4,3,12,9,11,6,15,4,4,5,13,5,10,12,8,10,8,4,13,11,8,14,13,3.0,Germany
Hungary,5,5,6,10,13,14,7,14,4,4,3,8,6,7,12,10,2,9,8,13,5,17,14,8,9.0,Hungary
Italy,4,7,7,10,11,12,7,15,3,6,8,10,5,10,11,9,8,9,9,12,12,12,15,10,3.0,Italy
Netherlands,5,7,5,9,7,10,7,13,5,4,5,7,6,8,11,8,2,5,9,14,9,14,7,8,3.0,Netherlands
North Macedonia,8,6,6,13,13,18,9,21,6,6,6,10,9,10,16,13,3,1,3,8,10,10,11,8,,North Macedonia
Poland,4,3,6,10,10,15,6,16,5,5,5,9,8,11,12,11,13,3,3,13,15,5,10,14,6.0,Poland
Portugal,4,6,6,11,12,20,7,15,3,8,8,15,7,16,9,11,5,6,4,12,7,6,10,9,2.0,Portugal
Russia,4,6,6,8,10,13,6,15,3,4,3,8,7,8,12,8,7,11,8,15,9,5,14,11,1.0,Russia
Scotland,8,8,7,10,14,14,9,14,3,6,9,11,4,8,10,7,5,4,5,5,6,8,6,8,2.0,Scotland
Slovakia,5,4,4,10,8,9,8,12,6,6,6,11,7,8,14,9,3,3,4,9,7,4,10,8,6.0,Slovakia
Spain,6,7,8,12,10,11,7,15,5,6,7,11,5,12,14,8,3,5,6,16,10,9,10,9,12.0,Spain
Sweden,3,5,6,14,10,13,7,14,3,5,3,10,5,14,8,10,2,3,6,9,7,5,10,6,3.0,Sweden
Switzerland,6,6,4,8,10,7,8,15,4,4,7,14,5,11,13,9,3,6,6,8,6,8,7,5,5.0,Switzerland
Turkey,6,7,6,8,8,6,8,12,4,5,7,10,6,9,15,7,4,4,5,12,8,4,11,11,2.0,Turkey
Ukraine,4,7,4,8,14,7,6,17,4,6,6,12,6,9,12,13,6,6,5,7,11,6,12,10,6.0,Ukraine
Wales,5,4,6,8,11,8,7,10,6,6,6,10,7,8,10,11,11,9,10,15,12,11,10,14,2.0,Wales
