nationality;defense_rating;defense_weight;defense_height;defense_heading;defense_ball_skills;defense_physical;defense_defending;defense_finishing;midfielder_rating;midfielder_weight;midfielder_height;midfielder_heading;midfielder_ball_skills;midfielder_physical;midfielder_defending;midfielder_finishing;attacker_rating;attacker_weight;attacker_height;attacker_heading;attacker_ball_skills;attacker_physical;attacker_defending;attacker_finishing;goalkeeper_rating;country
Croatia;72;82;188;66;63;63;70;44;77;76;182;68;76;71;64;70;78;76;184;77;70;72;46;72;74;Croatia
Czech Republic;74;78;184;74;67;75;72;54;78;72;180;67;79;69;64;69;76;80;189;77;66;66;48;67;84;Czech Republic
Denmark;72;79;186;67;61;69;68;46;72;74;181;67;70;71;64;60;76;75;179;68;76;71;51;70;78;Denmark
England;81;77;182;74;69;73;77;52;81;67;178;75;80;75;67;75;81;73;180;78;75;77;56;73;83;England
France;81;78;182;71;68;75;77;48;80;74;178;73;78;76;69;64;81;74;180;75;77;74;52;76;86;France
Germany;81;81;187;73;67;66;76;52;84;76;184;70;79;73;69;73;83;77;184;80;76;76;53;77;87;Germany
Greece;75;78;182;73;64;70;73;55;72;79;183;70;69;72;72;56;73;73;178;70;71;66;48;69;76;Greece
Italy;80;78;185;76;66;77;75;51;82;77;181;73;80;73;74;74;81;72;174;71;81;68;57;80;86;Italy
Netherlands;73;78;182;69;63;67;71;48;81;75;179;71;77;71;71;70;82;76;183;74;77;73;53;77;84;Netherlands
Poland;70;80;186;66;59;66;68;46;72;74;180;67;70;69;64;59;74;76;180;75;70;70;51;67;80;Poland
Portugal;79;77;184;70;65;74;74;50;79;73;177;71;78;74;69;73;80;83;186;80;71;71;50;74;81;Portugal
Republic of Ireland;72;82;186;63;58;64;69;39;72;77;178;68;71;72;64;64;76;77;180;74;69;74;53;69;82;Republic of Ireland
Russia;70;76;184;61;62;69;67;44;78;74;178;70;78;73;70;70;78;78;182;76;74;68;55;74;84;Russia
Spain;82;77;181;73;73;81;78;57;85;73;180;69;81;70;70;73;84;73;178;76;79;74;53;75;85;Spain
Sweden;74;79;186;70;64;69;70;49;76;79;183;69;72;69;69;68;76;80;185;74;71;72;50;70;77;Sweden
Ukraine;74;79;186;70;64;69;70;49;76;79;183;69;72;69;69;68;76;80;185;74;71;72;50;70;77;Ukraine
