nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating
Austria,74.32850638377201,78.32850638377201,181.49275957565803,63.821265959430036,57.98551915131604,60.40339255537304,72.49275957565803,46.89615213103106,76.32850638377201,75.91063297971502,178.91063297971502,60.239139363487034,72.49275957565803,68.23913936348703,69.65701276754403,61.821265959430036,72.91063297971502,74.07488617160102,183.82126595943004,58.14977234320205,70.49275957565803,64.40339255537305,51.65701276754403,63.821265959430036,73.74637978782901
Belgium,78.74637978782901,81.74637978782901,185.746379787829,68.91063297971502,65.23913936348703,62.07488617160102,76.49275957565803,49.47827872697407,78.74637978782901,72.91063297971502,176.91063297971502,64.82126595943004,76.91063297971502,72.40339255537305,60.14977234320205,68.82126595943004,77.07488617160102,72.98551915131604,179.23913936348703,59.47827872697407,70.98551915131604,68.73189893914505,52.56764574725905,70.82126595943004,86.91063297971502
Croatia,72.91063297971502,75.07488617160102,180.49275957565803,63.98551915131604,61.239139363487034,64.82126595943004,69.65701276754403,42.56764574725905,77.91063297971502,72.49275957565803,177.49275957565803,62.98551915131604,76.07488617160102,68.82126595943004,63.98551915131604,69.07488617160102,77.164253191886,74.49275957565803,181.07488617160104,61.56764574725905,67.82126595943004,73.82126595943004,53.821265959430036,70.23913936348703,78.07488617160102
Czech Republic,72.32850638377201,74.91063297971502,178.07488617160104,68.65701276754403,63.07488617160102,68.91063297971502,70.91063297971502,47.40339255537304,75.164253191886,73.07488617160102,178.07488617160104,69.07488617160102,71.74637978782901,72.07488617160102,63.98551915131604,64.49275957565803,71.32850638377201,76.07488617160102,185.91063297971502,58.98551915131604,62.821265959430036,61.56764574725905,48.40339255537304,64.65701276754403,82.0
Denmark,74.32850638377201,80.07488617160102,186.91063297971502,60.56764574725905,62.239139363487034,55.89615213103106,71.07488617160102,45.47827872697407,75.91063297971502,74.91063297971502,180.328506383772,63.821265959430036,72.49275957565803,68.65701276754403,69.23913936348703,66.23913936348703,68.23913936348703,74.65701276754403,182.07488617160104,67.23913936348703,59.98551915131604,64.98551915131604,46.98551915131604,60.98551915131604,81.91063297971502
England,78.74637978782901,74.23913936348703,182.07488617160104,69.07488617160102,70.07488617160102,62.98551915131604,75.91063297971502,49.14977234320205,75.49275957565803,71.49275957565803,180.328506383772,61.40339255537304,70.23913936348703,68.98551915131604,65.98551915131604,59.14977234320205,81.32850638377201,70.07488617160102,176.07488617160104,58.89615213103106,76.07488617160102,76.23913936348703,56.239139363487034,71.23913936348703,79.74637978782901
Finland,65.74637978782901,77.07488617160102,181.65701276754402,59.239139363487034,53.239139363487034,55.56764574725905,63.49275957565802,41.14977234320205,66.74637978782901,76.49275957565803,181.91063297971502,56.239139363487034,62.91063297971502,56.731898939145054,58.821265959430036,54.65701276754403,65.49275957565803,73.65701276754403,181.16425319188602,59.239139363487034,54.239139363487034,66.65701276754403,46.40339255537304,57.239139363487034,79.65701276754403
France,80.74637978782901,76.07488617160102,181.91063297971502,71.23913936348703,65.65701276754403,68.49275957565803,77.91063297971502,47.98551915131604,81.74637978782901,74.23913936348703,177.23913936348703,68.82126595943004,77.91063297971502,74.23913936348703,66.73189893914505,69.23913936348703,83.32850638377201,73.23913936348703,178.23913936348703,69.14977234320205,76.49275957565803,71.89615213103106,55.239139363487034,76.07488617160102,86.164253191886
Germany,79.74637978782901,87.32850638377201,188.746379787829,61.98551915131604,64.23913936348703,61.40339255537304,76.49275957565803,45.731898939145054,82.32850638377201,74.32850638377201,179.91063297971502,63.56764574725905,79.91063297971502,70.82126595943004,66.98551915131604,70.65701276754403,75.82126595943004,73.65701276754403,181.328506383772,65.56764574725905,70.40339255537305,74.65701276754403,50.14977234320205,67.56764574725905,87.74637978782901
Hungary,67.91063297971502,76.91063297971502,181.49275957565803,63.821265959430036,48.56764574725905,59.14977234320205,65.07488617160102,37.14977234320205,67.32850638377201,72.32850638377201,177.746379787829,57.65701276754403,63.49275957565802,70.07488617160102,50.98551915131604,53.821265959430036,69.164253191886,75.23913936348703,176.65701276754402,56.56764574725905,61.91063297971502,59.89615213103106,46.14977234320205,62.65701276754403,81.23913936348703
