nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating,country
Argentina,2,5,8,15,9,19,5,11,2,6,3,5,4,4,8,8,7.0,7.0,6.0,10.0,8.0,5.0,9.0,8.0,0.0,Argentina
Australia,2,8,11,14,9,13,6,13,3,6,6,12,6,12,15,10,3.0,8.0,6.0,17.0,7.0,13.0,8.0,7.0,3.0,Australia
Belgium,5,4,3,6,9,6,8,17,3,7,7,13,5,15,15,7,4.0,12.0,9.0,16.0,12.0,9.0,10.0,6.0,5.0,Belgium
Brazil,3,3,4,8,8,5,5,15,3,10,7,14,4,7,8,4,4.0,5.0,3.0,11.0,4.0,5.0,9.0,7.0,0.0,Brazil
Colombia,4,10,11,13,9,11,6,10,5,4,3,10,8,16,10,15,4.0,7.0,9.0,16.0,7.0,5.0,9.0,11.0,2.0,Colombia
Costa Rica,7,9,9,14,10,13,11,14,5,5,3,8,6,9,12,9,11.0,13.0,11.0,19.0,12.0,18.0,14.0,17.0,8.0,Costa Rica
Croatia,4,4,3,8,9,9,6,12,4,6,6,12,5,10,8,8,3.0,4.0,5.0,9.0,5.0,6.0,12.0,8.0,4.0,Croatia
Denmark,4,8,6,14,8,14,7,16,5,4,6,10,7,8,12,11,1.0,6.0,8.0,10.0,8.0,8.0,9.0,6.0,4.0,Denmark
Egypt,3,4,8,9,13,10,6,16,4,3,3,11,6,10,16,8,9.0,5.0,5.0,11.0,11.0,11.0,13.0,11.0,3.0,Egypt
England,2,11,8,10,8,11,5,13,3,7,3,11,7,11,12,13,3.0,8.0,7.0,12.0,6.0,7.0,10.0,6.0,1.0,England
France,2,7,3,6,8,6,4,15,3,8,10,13,5,12,12,9,2.0,8.0,7.0,16.0,5.0,15.0,8.0,5.0,4.0,France
Germany,4,9,5,13,11,9,7,14,3,7,5,13,4,9,14,7,2.0,5.0,4.0,11.0,9.0,9.0,10.0,9.0,8.0,Germany
Iceland,4,5,9,13,10,9,5,10,1,7,4,7,4,5,8,10,10.0,8.0,6.0,8.0,11.0,7.0,11.0,17.0,8.0,Iceland
Iran,2,3,5,7,3,10,3,7,3,0,6,8,6,6,13,8,2.0,6.0,4.0,14.0,6.0,7.0,7.0,7.0,8.0,Iran
Japan,3,4,6,8,11,11,6,13,3,4,5,11,5,9,14,9,3.0,4.0,4.0,10.0,6.0,5.0,10.0,11.0,1.0,Japan
Mexico,2,6,4,6,10,5,4,20,1,6,2,6,3,11,12,6,2.0,4.0,2.0,10.0,5.0,8.0,8.0,5.0,0.0,Mexico
Morocco,8,11,6,12,9,11,10,12,2,6,4,10,6,7,10,10,3.0,9.0,6.0,12.0,10.0,12.0,11.0,8.0,3.0,Morocco
Nigeria,4,5,5,9,11,10,6,16,2,2,3,12,6,6,13,9,11.0,13.0,11.0,19.0,12.0,18.0,14.0,17.0,8.0,Nigeria
Panama,2,7,1,7,11,13,6,10,2,4,2,4,7,8,14,7,11.0,13.0,11.0,19.0,12.0,18.0,14.0,17.0,8.0,Panama
Peru,4,5,4,9,11,10,10,15,5,7,4,10,8,11,16,11,11.0,13.0,11.0,19.0,12.0,18.0,14.0,17.0,3.0,Peru
Poland,6,2,6,10,13,12,7,19,3,6,5,11,6,8,13,12,11.0,2.0,1.0,11.0,9.0,4.0,9.0,14.0,6.0,Poland
Portugal,6,6,8,10,12,17,9,14,1,9,8,13,6,23,14,10,6.0,8.0,6.0,15.0,3.0,5.0,13.0,8.0,4.0,Portugal
Russia,3,6,6,14,13,22,6,14,2,2,2,8,3,4,4,6,2.0,10.0,9.0,19.0,4.0,9.0,13.0,7.0,3.0,Russia
Saudi Arabia,5,9,6,12,15,18,7,16,6,5,7,9,10,12,12,12,11.0,13.0,11.0,19.0,12.0,18.0,14.0,17.0,1.0,Saudi Arabia
Senegal,8,11,9,16,8,9,10,12,5,8,7,12,6,13,13,9,3.0,4.0,4.0,9.0,8.0,7.0,13.0,7.0,2.0,Senegal
Serbia,5,9,8,11,11,8,6,22,5,3,4,10,8,10,13,8,3.0,9.0,8.0,15.0,10.0,12.0,9.0,9.0,8.0,Serbia
South Korea,2,5,5,14,13,16,5,20,5,4,7,9,5,7,10,11,2.0,13.0,11.0,9.0,5.0,18.0,12.0,7.0,0.0,South Korea
Spain,5,6,6,10,7,10,4,14,1,4,7,9,5,12,11,8,3.0,6.0,6.0,12.0,7.0,9.0,8.0,7.0,0.0,Spain
Sweden,3,5,6,12,10,13,5,13,2,4,3,11,5,12,10,10,4.0,3.0,5.0,13.0,8.0,10.0,7.0,9.0,1.0,Sweden
Switzerland,2,4,4,9,13,7,5,18,2,4,5,8,5,8,5,10,4.0,6.0,7.0,11.0,8.0,6.0,7.0,8.0,3.0,Switzerland
Tunisia,3,4,2,7,8,8,4,10,4,4,3,7,5,3,5,10,6.0,8.0,0.0,4.0,5.0,1.0,14.0,13.0,5.0,Tunisia
Uruguay,10,5,8,14,9,6,11,12,2,3,8,10,5,9,5,7,7.0,8.0,6.0,11.0,7.0,9.0,11.0,9.0,8.0,Uruguay
