nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating,country
Albania,70,75,182,66,61,69,68,44,68,68,171,63,65,75,70,56,66,80,185,70,58,57,44,58,74.0,Albania
Austria,76,81,185,71,67,72,73,54,75,79,183,70,71,74,64,64,72,81,186,70,66,68,50,69,73.0,Austria
Belgium,78,81,186,76,69,75,74,58,82,74,182,75,81,78,67,74,80,78,183,78,73,75,51,71,86.0,Belgium
Croatia,77,79,184,71,69,75,75,56,81,74,182,70,82,74,67,73,76,78,184,73,67,72,51,73,81.0,Croatia
Czech Republic,73,77,183,70,68,73,72,55,73,72,180,64,73,66,57,68,73,77,184,69,69,69,54,70,86.0,Czech Republic
England,80,78,183,72,70,75,76,50,77,72,180,71,75,76,69,65,80,74,182,77,76,76,57,73,84.0,England
France,80,76,181,75,67,76,77,52,82,76,180,74,79,79,72,70,81,78,183,78,75,76,50,78,85.0,France
Germany,82,86,189,73,69,69,76,48,79,78,184,72,77,72,65,71,85,78,184,71,79,74,53,77,90.0,Germany
Hungary,68,79,186,60,56,63,66,37,71,75,179,64,71,71,60,66,72,82,186,71,66,67,51,68,71.0,Hungary
Iceland,67,77,185,61,59,68,65,44,70,77,181,68,70,72,64,62,72,81,187,72,66,68,48,68,68.0,Iceland
Italy,81,79,185,75,66,76,77,50,80,79,184,73,76,74,72,69,79,72,179,74,74,73,53,74,84.0,Italy
Northern Ireland,69,76,184,58,56,65,66,39,70,72,175,64,68,70,62,58,67,75,181,68,63,72,51,59,68.0,Northern Ireland
Poland,73,82,187,65,60,71,70,43,73,77,179,66,73,71,66,59,74,74,183,71,70,70,52,68,78.0,Poland
Portugal,78,79,182,71,64,68,75,61,79,76,180,72,77,73,73,66,88,70,178,81,84,88,64,83,82.0,Portugal
Republic of Ireland,73,80,187,63,62,69,70,46,74,73,179,67,72,75,68,65,75,77,179,71,71,73,57,70,75.0,Republic of Ireland
Romania,74,74,182,67,60,69,72,50,72,74,177,68,69,69,63,64,72,74,180,72,67,72,52,69,76.0,Romania
Russia,76,77,183,70,71,73,73,56,75,75,180,70,75,73,68,65,78,78,182,75,77,66,63,71,79.0,Russia
Slovakia,74,76,186,63,57,67,70,38,78,80,183,74,77,77,63,72,66,90,190,70,51,52,40,58,,Slovakia
Spain,82,73,180,72,72,78,77,59,83,72,178,67,82,73,66,73,82,67,171,67,80,75,57,76,77.0,Spain
Sweden,73,82,188,68,62,68,69,50,75,76,181,68,73,73,66,66,78,84,190,75,69,67,48,76,71.0,Sweden
Switzerland,75,80,184,70,66,72,73,52,74,75,182,68,73,71,70,63,74,83,184,73,70,69,51,67,82.0,Switzerland
Turkey,74,75,179,71,69,74,72,56,78,74,179,71,78,74,68,72,74,74,179,69,69,71,48,68,79.0,Turkey
Ukraine,79,70,180,75,75,75,78,63,78,76,181,69,72,71,77,56,73,68,178,65,74,70,64,67,80.0,Ukraine
Wales,75,80,182,63,65,71,71,44,71,72,176,63,70,71,60,64,77,75,180,73,75,77,59,67,74.0,Wales
